BAD;CLAGE;CLNO;DEBTINC;DELINQ;DEROG;JOB;LOAN;MORTDUE;NINQ;REASON;VALUE;YOJ;CPF
0;;15;31,13462438;0;0;Other;20400;153958;1;DebtCon;195834;9;119.592.291-113
0;176,3284966;26;36,67687831;0;0;Office;20400;44746;2;DebtCon;63433;5;110.294.129-49
1;177,9047071;15;35,40463887;0;2;Office;20400;19265;1;DebtCon;43962;5;119.592.291-114
0;153,5781354;13;36,17609184;0;0;Office;20400;68928;0;HomeImp;98587;13;110.294.129-50
0;121,4533629;22;42,20643322;1;0;Office;20400;38267;0;DebtCon;68684;12;119.592.291-115
0;234,3920415;31;35,20581884;0;0;Mgr;20400;81823;4;DebtCon;114832;18;110.294.129-51
0;187,0186916;22;36,82188744;0;0;ProfExe;20400;132443;0;HomeImp;204082;13;119.592.291-116
0;68,44158303;16;31,51559341;0;0;ProfExe;20400;76305;0;HomeImp;103430;8;110.294.129-52
0;321,5609396;42;37,69667921;0;;Mgr;20400;83188;1;DebtCon;113181;25;119.592.291-117
0;166,9381999;46;35,52622751;4;0;Office;20400;52109;0;DebtCon;100316;0;110.294.129-53
0;141,0330881;14;32,93078188;0;0;Other;20400;41985;0;HomeImp;100096;4;119.592.291-118
0;149,5711997;22;34,34224939;0;0;Office;20400;60393;0;DebtCon;98247;3;110.294.129-54
0;176,3666652;25;37,86483283;0;0;Other;20500;82638;1;DebtCon;109915;;119.592.291-119
0;118,276051;20;33,70161545;0;1;ProfExe;20500;93761;0;DebtCon;94895;1;110.294.129-55
0;112,5822669;17;35,84627282;1;;Office;20500;64123;1;DebtCon;103728;8;119.592.291-120
1;248,4048782;21;17,80584889;5;1;Other;20500;25984;0;DebtCon;95541;28;110.294.129-56
0;120,4267161;17;22,52545512;0;0;Other;20500;37437;0;DebtCon;65004;1;119.592.291-121
0;97,86217257;14;38,6994411;0;0;Other;20500;86236;3;DebtCon;138729;11;110.294.129-57
1;243,6806039;26;143,949605;0;1;Self;20500;113963;1;HomeImp;131135;3;119.592.291-122
0;305,6564224;21;31,58225278;0;0;Other;20500;;3;HomeImp;130396;0;110.294.129-58
0;213,9143599;32;43,79573429;0;0;Office;20500;173061;1;DebtCon;220886;13;119.592.291-123
0;170,9255245;26;33,58241575;0;0;Office;20500;47130;2;DebtCon;66415;4;110.294.129-59
0;113,4824598;22;43,20659883;2;0;Office;20500;41899;1;DebtCon;65418;12;119.592.291-124
0;258,6200419;37;26,36612627;0;0;ProfExe;20500;169689;1;DebtCon;198931;9;110.294.129-60
0;141,0053448;14;36,6093894;0;0;Office;20500;67852;0;HomeImp;97944;14;119.592.291-125
0;151,5753417;15;36,50493346;;;Office;20500;59969;;DebtCon;90311;5;110.294.129-61
0;258,5210694;20;26,14692719;0;0;ProfExe;20500;53438;0;DebtCon;118731;14;119.592.291-126
0;288,8666667;27;;0;0;ProfExe;20500;183000;1;DebtCon;230000;2;110.294.129-62
0;203,9;21;;0;0;ProfExe;20500;89269;0;DebtCon;132500;;119.592.291-127
1;105,5333333;33;;3;1;Other;20500;52031;2;;64975;2,5;110.294.129-63
0;96,92964469;15;40,16291939;0;0;Other;20500;87892;3;DebtCon;136867;10;119.592.291-128
0;87,44666334;23;38,49506596;0;0;Mgr;20500;80441;7;DebtCon;100505;7;110.294.129-64
0;360,6400541;16;33,75431861;0;0;Other;20500;76620;1;;185666;8;119.592.291-129
0;202,9030543;12;38,64601873;0;0;Other;20500;39147;0;DebtCon;58049;;110.294.129-65
1;107,6713817;49;39,68708944;1;1;Other;20500;106839;4;DebtCon;144460;13;119.592.291-130
1;39,98582958;16;34,06826893;0;9;Other;20500;85884;5;DebtCon;103546;5;110.294.129-66
0;634,4618926;23;19,57431626;0;0;ProfExe;20500;64113;1;HomeImp;98322;16;119.592.291-131
0;116,3286575;18;36,96632523;1;;Office;20600;67086;2;DebtCon;108006;6;110.294.129-67
0;125,6768499;20;36,53740053;0;1;ProfExe;20600;91180;0;DebtCon;98088;2;119.592.291-132
0;218,390939;13;30,2712393;0;0;Other;20600;69949;0;HomeImp;101807;3;110.294.129-68
0;204,0744093;12;30,22295994;0;1;Other;20600;74828;1;HomeImp;106493;5;119.592.291-133
0;90,91493176;18;22,03357993;0;0;ProfExe;20600;;0;DebtCon;24894;3;110.294.129-69
0;228,0570024;24;27,17664772;1;0;Other;20600;16779;0;DebtCon;56481;24;119.592.291-134
0;120,4332624;22;40,91194986;1;0;Office;20600;44826;0;DebtCon;66226;13;110.294.129-70
0;381,0256475;51;37,16904808;1;;Office;20600;124323;;DebtCon;166781;4;119.592.291-135
0;106,162918;15;32,09386652;0;0;Other;20600;35530;0;HomeImp;105838;7;110.294.129-71
0;113,1666358;15;41,20785574;0;0;Other;20600;91183;3;DebtCon;138268;12;119.592.291-136
1;65,88287939;10;65,14359345;0;0;Other;20600;52946;0;DebtCon;83558;0;110.294.129-72
0;146,839968;21;33,94558615;0;0;Office;20600;62531;0;DebtCon;96584;1;119.592.291-137
1;;0;;0;0;Other;20600;48500;0;DebtCon;72000;17;110.294.129-73
0;302,7839495;24;35,38837972;;;Other;20600;32439;;DebtCon;55024;0;119.592.291-138
0;180,0541538;25;40,69308168;0;0;Other;20600;79590;2;DebtCon;106014;;110.294.129-74
0;189,9559195;42;40,86267837;;;ProfExe;20600;138918;4;DebtCon;175989;5;119.592.291-139
0;102,9868632;18;19,44718515;0;0;ProfExe;20600;;0;DebtCon;28635;5;110.294.129-75
0;97,10958363;34;29,69750665;0;1;ProfExe;20600;147855;3;;125839;4;119.592.291-140
0;313,6044894;27;40,04911263;0;0;ProfExe;20600;185050;0;DebtCon;234004;3;110.294.129-76
0;219,3368796;24;40,54373892;0;0;Office;20600;114947;4;DebtCon;173502;4;119.592.291-141
0;69,32471958;24;38,67963357;0;0;Mgr;20700;80124;7;DebtCon;99938;7;110.294.129-77
0;243,3239163;24;41,3367401;1;0;Office;20700;110307;0;DebtCon;140902;13;119.592.291-142
0;208,3517505;12;31,32739444;0;0;Other;20700;71408;1;HomeImp;103991;4;110.294.129-78
0;;;39,98309593;;;;20700;100778;;HomeImp;142271;;119.592.291-143
0;305,2666667;32;;0;0;Other;20700;41000;3;DebtCon;65000;26;110.294.129-79
0;;;37,76048242;;;;20700;48134;;;78954;;119.592.291-144
0;112,6358603;5;17,69314418;0;0;Office;20700;;1;HomeImp;64980;6;110.294.129-80
0;114,0118385;16;40,76214878;0;0;;20700;61710;0;DebtCon;86749;2;119.592.291-145
0;223,1378975;24;42,54727476;2;0;Office;20700;107766;0;DebtCon;146937;12;110.294.129-81
0;233,5953067;13;42,62634036;0;2;Other;20700;72698;1;DebtCon;96691;;119.592.291-146
0;315,3743912;17;43,85601978;0;0;Mgr;20700;140776;0;HomeImp;183621;7;110.294.129-82
0;213,7282918;13;32,87190897;0;0;Other;20700;69810;1;HomeImp;100756;3;119.592.291-147
0;132,9409379;15;31,60621741;0;0;Other;20700;32817;0;HomeImp;101720;5;110.294.129-83
1;107,5333333;19;;2;4;Other;20800;70758;3;DebtCon;;0;119.592.291-148
1;159,7067703;25;38,59193997;0;3;Other;20800;176235;0;DebtCon;209695;9;110.294.129-84
0;114,4821976;23;29,89157194;;;ProfExe;20800;155315;0;DebtCon;192038;11;119.592.291-149
0;261,8140558;19;24,79795817;0;0;ProfExe;20800;56364;0;DebtCon;115760;16;110.294.129-85
0;50,29354716;23;38,1204047;0;0;Mgr;20800;77885;7;DebtCon;98188;4;119.592.291-150
0;171,2834728;26;35,99929647;0;0;Office;20800;46434;2;DebtCon;68490;6;110.294.129-86
0;214,3305682;23;41,92846949;0;0;Office;20800;107787;3;DebtCon;182140;7;119.592.291-151
0;;16;30,92340746;0;0;Other;20800;156393;2;DebtCon;199881;7;110.294.129-87
0;168,3145771;47;35,23139271;4;0;Office;20800;51562;0;DebtCon;99997;1;119.592.291-152
0;215,4807143;12;38,73213217;0;0;Other;20800;29503;0;DebtCon;54923;;110.294.129-88
0;102,4223879;33;31,990311;0;0;ProfExe;20800;150507;2;;126763;4;119.592.291-153
0;161,5374824;22;31,92532942;0;0;ProfExe;20800;107379;1;HomeImp;147014;10;110.294.129-89
0;310,2318196;20;43,21741696;0;0;Mgr;20800;97360;1;HomeImp;123854;0;119.592.291-154
0;103,0311295;19;21,30427209;0;0;ProfExe;20800;;1;DebtCon;26732;6;110.294.129-90
0;407,5856237;24;22,16287266;0;0;Sales;20800;;0;DebtCon;74486;6;119.592.291-155
0;296,3963289;24;37,06995687;;;Other;20800;27453;;DebtCon;49041;0;110.294.129-91
0;63,24887692;23;34,59966898;0;0;Office;20800;63764;0;DebtCon;97090;1;119.592.291-156
0;174,9585772;46;37,48854569;4;0;Office;20800;58440;0;DebtCon;99244;1;110.294.129-92
0;412,014873;23;21,94584905;0;0;Sales;20800;;0;DebtCon;78483;2;119.592.291-157
0;308,410354;21;29,66545241;0;0;Other;20800;;3;HomeImp;130472;1;110.294.129-93
0;169,6871574;25;33,5250643;0;0;Mgr;20800;96994;1;DebtCon;140564;13;119.592.291-158
0;67,69193855;27;36,06123372;0;1;Mgr;20800;56597;3;DebtCon;79582;9;110.294.129-94
0;323,5951974;17;43,03775004;0;0;Mgr;20800;136884;0;HomeImp;180053;9;119.592.291-159
0;222,0379946;12;40,42166884;0;0;Other;20900;30517;0;DebtCon;58756;;110.294.129-95
0;67,32456202;23;38,51325618;0;0;Mgr;20900;71972;6;DebtCon;101745;6;119.592.291-160
0;206,6773533;25;40,06547716;1;0;Office;20900;111464;0;DebtCon;144487;11;110.294.129-96
0;52,30365625;4;29,7527322;0;0;Other;20900;16174;1;DebtCon;34886;1;119.592.291-161
0;123,1148817;4;20,78174123;0;0;Office;20900;;1;HomeImp;74233;6;110.294.129-97
0;181,6508803;22;34,58958143;0;0;ProfExe;20900;127077;0;HomeImp;204192;13;119.592.291-162
0;157,0711836;21;37,67720937;0;0;Office;20900;59228;1;DebtCon;92224;1;110.294.129-98
0;120,2198845;10;26,22575883;;1;Self;20900;39244;;HomeImp;55582;5;119.592.291-163
0;113,6988334;16;38,73252181;0;0;;20900;63038;0;DebtCon;86870;3;110.294.129-99
0;235,3955528;12;34,57184425;0;0;Office;20900;45279;0;DebtCon;73814;1;119.592.291-164
1;45,63113553;14;;0;0;Other;20900;55000;1;HomeImp;79900;2,5;110.294.129-100
0;179,925635;47;37,17960241;3;0;Office;20900;51960;0;DebtCon;105524;2;119.592.291-165
0;242,1642572;13;40,16365053;0;2;Other;20900;69233;1;DebtCon;105434;;110.294.129-101
0;75,56380333;22;37,41120065;0;0;Office;20900;60553;0;DebtCon;91364;1;119.592.291-166
1;107,2695126;28;28,38233702;1;2;ProfExe;20900;66575;7;DebtCon;79416;13;110.294.129-102
1;123,4795377;13;30,4244811;0;0;Other;20900;122807;2;DebtCon;150896;5;119.592.291-167
1;164,2489323;63;40,92143334;0;3;ProfExe;20900;61402;1;DebtCon;88659;9;110.294.129-103
0;177,8648492;15;36,83107615;;;Office;20900;62615;;DebtCon;87904;5;119.592.291-168
0;332,0828264;27;32,34639883;4;;Mgr;20900;133213;1;;174787;26;110.294.129-104
0;124,9559978;5;18,48129352;0;0;Office;20900;;1;HomeImp;73849;7;119.592.291-169
0;98,50936023;34;32,31318716;0;0;ProfExe;20900;152994;3;;117934;4;110.294.129-105
0;98,66282045;16;38,97200388;0;0;;20900;58299;0;DebtCon;78684;3;119.592.291-170
0;167,7183935;22;32,20492622;0;0;ProfExe;21000;101678;0;HomeImp;144063;9;110.294.129-106
0;173,7861616;24;40,05752741;0;0;Other;21000;81848;1;DebtCon;109860;;119.592.291-171
0;69,90656984;27;34,9310865;0;2;Mgr;21000;53572;2;DebtCon;80048;9;110.294.129-107
0;207,2100355;21;30,24782255;0;0;ProfExe;21000;94063;0;DebtCon;139868;;119.592.291-172
0;237,8201289;13;40,30577357;0;1;Other;21000;69097;1;DebtCon;105200;;110.294.129-108
0;156,8727507;15;37,43378459;;;Office;21000;63405;;DebtCon;86804;5;119.592.291-173
0;229,986998;23;40,56412158;0;0;ProfExe;21000;133430;1;DebtCon;189263;22;110.294.129-109
1;97,54425218;14;33,62088343;0;0;Office;21000;113954;13;DebtCon;136249;2;119.592.291-174
1;48,49897084;10;32,92140064;0;0;Other;21000;48735;3;DebtCon;71694;8;110.294.129-110
1;;;;;;Other;21000;;;DebtCon;55000;7;119.592.291-175
0;121,7666667;24;;0;0;Mgr;21000;86545;2;HomeImp;118000;9,9;110.294.129-111
0;97,63333333;30;;0;0;Other;21000;64100;2;DebtCon;85100;3,5;119.592.291-176
0;160,9;32;;0;0;ProfExe;21000;90267;0;HomeImp;134000;7;110.294.129-112
0;66,63333333;19;;0;0;Other;21000;42000;2;DebtCon;67000;7;119.592.291-177
0;163,3666667;25;;0;1;ProfExe;21000;87000;1;DebtCon;140000;22;110.294.129-113
1;154,2;30;;2;8;Mgr;21000;110000;3;DebtCon;138000;16;119.592.291-178
1;116,7;22;;7;0;ProfExe;21000;69231;1;DebtCon;95000;8;110.294.129-114
1;116,9;19;;;1;Sales;21000;96000;1;DebtCon;125000;0,3;119.592.291-179
1;65,96666667;18;;0;0;Office;21000;42000;2;DebtCon;67000;7;110.294.129-115
0;225,2852704;12;31,04430422;0;0;Other;21000;67657;1;HomeImp;100606;5;119.592.291-180
0;123,9728061;20;33,56414529;0;0;ProfExe;21000;90425;0;DebtCon;97741;1;110.294.129-116
0;223,7696106;24;40,56475036;0;0;Office;21000;106011;3;DebtCon;173778;7;119.592.291-181
1;90,4254746;24;41,96624947;1;2;ProfExe;21000;52411;3;;90031;5;110.294.129-117
0;196,1979075;21;26,86773396;0;0;ProfExe;21000;94019;0;DebtCon;134565;;119.592.291-182
0;174,4289688;15;38,59337641;0;0;Other;21000;;1;HomeImp;91455;7;110.294.129-118
0;208,6059657;21;37,09927911;0;0;ProfExe;21000;131378;0;HomeImp;199687;12;119.592.291-183
0;99,36947035;15;40,14317075;0;0;;21000;65205;0;DebtCon;86313;4;110.294.129-119
0;207,2079516;25;28,09337559;2;0;Other;21100;16110;1;DebtCon;54436;24;119.592.291-184
0;;;39,67140831;;;;21100;48624;;;83448;;110.294.129-120
0;74,57642698;27;36,76027571;0;1;Mgr;21100;55863;2;DebtCon;81406;10;119.592.291-185
0;285,0469162;17;37,13906786;0;0;Other;21100;81389;1;DebtCon;123842;9;110.294.129-121
1;79,16666667;29;;2;0;Office;21100;72000;4;DebtCon;98000;6;119.592.291-186
0;220,5535336;21;32,72762776;0;0;Other;21100;61427;0;DebtCon;83722;19;110.294.129-122
0;626,2970937;24;20,01032357;0;0;ProfExe;21100;63955;0;HomeImp;95621;19;119.592.291-187
0;279,4682367;16;33,07852222;0;0;Office;21100;91479;3;DebtCon;127110;25;110.294.129-123
0;324,1633286;16;43,25118252;0;0;Mgr;21100;143487;0;HomeImp;180122;7;119.592.291-188
0;112,5782431;19;19,84290249;0;1;ProfExe;21100;;0;DebtCon;26450;6;110.294.129-124
0;197,0444606;21;35,20443453;0;0;ProfExe;21200;130373;0;HomeImp;204384;13;119.592.291-189
0;87,64505947;14;42,13884767;1;0;Other;21200;85092;3;DebtCon;139345;9;110.294.129-125
0;216,1560174;24;27,39523388;1;0;Other;21200;23088;0;DebtCon;56535;27;119.592.291-190
0;161,8591186;22;34,54854127;0;0;ProfExe;21200;103264;1;HomeImp;148968;8;110.294.129-126
0;211,8072267;24;40,39483989;0;0;Office;21200;109747;3;DebtCon;174666;7;119.592.291-191
0;200,0149175;13;29,64128644;0;0;Other;21200;70096;1;HomeImp;108632;4;110.294.129-127
0;123,8939486;21;40,13923179;2;0;Office;21200;44097;1;DebtCon;64703;12;119.592.291-192
1;97,2311228;22;18,11489583;1;0;ProfExe;21200;69212;0;DebtCon;106273;12;110.294.129-128
0;224,1204408;12;30,51053209;0;0;Other;21200;67272;0;HomeImp;107667;5;119.592.291-193
0;143,3645296;14;36,1076674;0;0;Office;21200;62067;0;HomeImp;104579;13;110.294.129-129
1;43,6;49;;0;1;Other;21200;70000;7;DebtCon;101250;1;119.592.291-194
0;302,2069005;16;36,19052426;0;0;Other;21200;84117;2;DebtCon;118884;9;110.294.129-130
0;73,30309745;19;34,65925993;0;0;Other;21200;48273;2;DebtCon;71102;7;119.592.291-195
0;135,264537;13;38,82316963;0;0;Office;21200;70400;0;HomeImp;96999;14;110.294.129-131
0;196,9337486;21;32,91387412;0;0;Other;21200;55203;1;DebtCon;90639;17;119.592.291-196
0;623,4562088;24;19,41458795;0;0;ProfExe;21200;63093;1;HomeImp;101789;18;110.294.129-132
0;106,8357327;19;34,21668917;0;0;ProfExe;21200;91759;0;DebtCon;95165;2;119.592.291-197
0;231,0192443;24;41,55930367;1;0;Office;21200;113648;0;DebtCon;145650;11;110.294.129-133
0;197,1481905;15;30,54540067;0;0;Mgr;21300;133942;0;HomeImp;282972;3;119.592.291-198
0;212,9322977;22;33,03314641;0;0;Other;21300;58209;0;DebtCon;84200;18;110.294.129-134
0;138,3484553;22;35,5492951;0;0;Office;21300;63263;1;DebtCon;94180;1;119.592.291-199
0;185,7;26;;0;0;Mgr;21300;104000;0;DebtCon;155250;16;110.294.129-135
0;334,0659169;27;31,87577109;5;;Mgr;21300;134578;0;;176968;25;119.592.291-200
0;276,170167;36;25,83088323;3;0;ProfExe;21300;56729;1;DebtCon;114643;14;110.294.129-136
0;166,0829828;26;33,35538267;0;0;Mgr;21300;107012;0;DebtCon;159949;15;119.592.291-201
0;199,4767352;42;39,83964014;;;ProfExe;21300;145324;5;DebtCon;179995;5;110.294.129-137
0;291,8195388;26;36,99364995;0;0;ProfExe;21300;185874;1;DebtCon;235968;3;119.592.291-202
0;317,3006251;24;37,17163855;;;Other;21300;28463;;DebtCon;47537;1;110.294.129-138
0;;;38,49756059;;;;21300;99613;;HomeImp;147991;;119.592.291-203
0;173,7925073;15;37,36452883;;;Office;21300;67282;;DebtCon;86861;4;110.294.129-139
0;162,3221192;23;31,98763633;0;0;ProfExe;21300;101524;0;HomeImp;141859;10;119.592.291-204
0;288,3736976;26;39,33487902;0;0;ProfExe;21300;183386;1;DebtCon;230443;1;110.294.129-140
0;117,2101261;29;32,66110554;0;0;Other;21300;72450;1;DebtCon;88622;3;119.592.291-205
0;278,691315;17;32,98853181;0;0;Office;21300;94642;2;DebtCon;125062;24;110.294.129-141
0;200,9111493;12;31,15558593;0;0;Office;21300;74081;1;DebtCon;102810;9;119.592.291-206
0;311,3257037;19;42,22721497;1;0;Mgr;21300;98507;0;HomeImp;125539;0;110.294.129-142
0;101,7740201;30;32,82545058;0;0;Other;21300;68544;2;DebtCon;89908;3;119.592.291-207
0;109,9006857;10;4,384983222;0;0;Other;21300;55140;1;DebtCon;81692;12;110.294.129-143
0;313,1874651;17;43,64534866;0;0;Mgr;21300;143676;0;HomeImp;181960;8;119.592.291-208
0;98,89218205;18;34,96414103;0;;Office;21300;66573;1;DebtCon;100519;7;110.294.129-144
1;135,232836;20;44,38257789;0;2;Other;21300;103989;3;DebtCon;143796;9;119.592.291-209
0;213,2333333;27;;0;0;Self;21400;88147;2;DebtCon;115000;3;110.294.129-145
0;187,3708537;24;38,18834501;0;0;Other;21400;77794;1;DebtCon;105330;;119.592.291-210
0;169,0161379;25;35,61202481;0;0;Mgr;21400;96016;2;DebtCon;135783;14;110.294.129-146
0;172,0310693;38;19,63706875;0;1;ProfExe;21400;134041;0;DebtCon;163103;6;119.592.291-211
0;306,1836619;43;39,91928991;1;;Mgr;21400;85609;0;DebtCon;108469;24;110.294.129-147
1;183,5480397;24;38,14905923;7;2;ProfExe;21400;166244;4;DebtCon;212505;4;119.592.291-212
1;149,2544801;20;46,30507215;0;2;Other;21400;104657;2;DebtCon;147364;7;110.294.129-148
0;248,6464953;13;42,17658506;0;1;Other;21400;75563;2;DebtCon;96159;;119.592.291-213
0;173,5751047;47;37,82317309;4;0;Office;21400;53071;0;DebtCon;104997;1;110.294.129-149
0;219,1538803;24;41,82491442;2;0;Office;21400;113053;0;DebtCon;147467;11;119.592.291-214
0;221,515426;26;34,88554143;0;0;Self;21400;90912;2;DebtCon;121714;3;110.294.129-150
0;;;37,82721876;;;;21400;44573;;;80915;;119.592.291-215
0;314,6389579;32;35,98208364;0;0;Other;21400;49459;2;DebtCon;69461;25;110.294.129-151
0;627,7023895;23;20,68871482;0;0;ProfExe;21400;64378;1;HomeImp;99343;18;119.592.291-216
0;81,44638031;15;41,39546183;0;0;Other;21400;92241;3;DebtCon;133791;11;110.294.129-152
0;62,26356587;18;41,57670052;0;0;Other;21400;7259;2;DebtCon;24770;;119.592.291-217
0;122,1533442;15;31,61467953;0;0;Other;21400;41671;0;HomeImp;103427;6;110.294.129-153
0;109,780321;29;35,63050485;0;0;Other;21400;70112;1;DebtCon;94849;4;119.592.291-218
0;314,9842869;17;43,10300163;0;0;Mgr;21400;143151;0;HomeImp;185014;7;110.294.129-154
0;180,4173542;38;17,49570049;0;0;ProfExe;21400;128095;0;DebtCon;167824;6;119.592.291-219
1;206,1276648;18;36,23566539;5;1;Office;21400;95147;1;DebtCon;132304;7;110.294.129-155
0;153,2238882;23;34,96596275;0;0;ProfExe;21500;100727;1;HomeImp;146904;11;119.592.291-220
1;122,2897915;30;49,37972914;1;;ProfExe;21500;84048;1;DebtCon;115705;10;110.294.129-156
0;58,11746362;19;42,49201034;0;0;Other;21500;9579;2;DebtCon;30807;;119.592.291-221
0;195,48568;25;32,37876814;0;0;Mgr;21500;107799;0;DebtCon;160526;16;110.294.129-157
0;212,6040797;24;43,31085629;0;0;Office;21500;110712;4;DebtCon;178045;6;119.592.291-222
0;311,4261279;16;44,59015523;0;0;Mgr;21500;141688;0;HomeImp;184241;8;110.294.129-158
0;305,8497165;25;36,60061306;;;Other;21500;25984;;DebtCon;47386;1;119.592.291-223
0;199,2195955;15;30,40625943;0;0;Mgr;21500;129361;0;HomeImp;284790;3;110.294.129-159
0;227,3474864;24;42,66067749;0;0;ProfExe;21500;135899;1;DebtCon;186976;18;119.592.291-224
0;173,3416649;25;39,85872689;0;0;ProfExe;21500;96993;0;DebtCon;143240;20;110.294.129-160
0;205,2783646;22;36,89339399;0;0;ProfExe;21500;125451;0;HomeImp;200594;13;119.592.291-225
0;243,5;27;;0;0;Other;21500;90000;1;DebtCon;111500;24;110.294.129-161
0;304,3666667;13;;0;0;Other;21500;18875;;DebtCon;42500;27;119.592.291-226
0;105,359931;23;31,79238783;;;ProfExe;21500;153783;0;DebtCon;191069;10;110.294.129-162
0;135,9405415;13;37,87247372;0;0;Office;21500;71636;0;HomeImp;96678;13;119.592.291-227
0;319,7808023;25;33,44900986;;;Other;21500;30546;;DebtCon;53300;1;110.294.129-163
0;;;38,46833167;;;;21500;47451;;;78645;;119.592.291-228
0;170,2049996;25;39,56664624;0;1;ProfExe;21500;94310;0;DebtCon;142986;22;110.294.129-164
0;128,6427857;20;34,28267592;0;0;ProfExe;21500;90321;0;DebtCon;103778;2;119.592.291-229
0;261,8666667;7;;0;0;Other;21500;35300;1;HomeImp;78810;25;110.294.129-165
0;247,8139714;22;39,14851242;0;0;Office;21500;10193;0;DebtCon;75649;;119.592.291-230
0;158,6407067;15;37,75484259;;;Office;21500;67377;;DebtCon;86502;5;110.294.129-166
0;196,8087927;22;31,69796036;0;0;Other;21500;58646;1;DebtCon;90807;17;119.592.291-231
1;313,4273217;18;37,97135495;4;1;Mgr;21600;144276;2;DebtCon;190797;0;110.294.129-167
0;312,1997839;25;35,37968123;;;Other;21600;30022;;DebtCon;51337;0;119.592.291-232
0;230,2422347;11;33,45738088;1;0;Office;21600;45421;0;DebtCon;75632;2;110.294.129-168
0;193,0488032;25;33,60060846;0;0;Mgr;21600;105654;0;DebtCon;155460;16;119.592.291-233
0;358,4284243;17;33,16743122;0;0;Other;21600;77139;0;;185494;11;110.294.129-169
0;121,4942487;22;41,13829939;2;0;Office;21600;36777;0;DebtCon;68300;11;119.592.291-234
